Feature,Feature_Value,SHAP_Value,ABS_SHAP
amount,5.6316433,0.6166082466550923,0.6166082466550923
oldbalanceOrg,0.9485354,0.148188614413765,0.148188614413765
errorBalanceOrig,0.33228582,0.12983516961163638,0.12983516961163638
isOrigBalanceZeroAfter,1.0,0.03242789246899358,0.03242789246899358
type_PAYMENT,0.0,0.026500220929440252,0.026500220929440252
step,-0.69113797,0.018697669295608652,0.018697669295608652
type_TRANSFER,0.0,0.011353925216725624,0.011353925216725624
type_CASH_IN,0.0,0.006963141074363545,0.006963141074363545
newbalanceOrig,-0.2924506,0.0,0.0
oldbalanceDest,0.07699936,0.0,0.0
newbalanceDest,1.0091072,0.0,0.0
isMerchant,0.0,0.0,0.0
day,-0.5913491,0.0,0.0
errorBalanceDest,-0.12594335,0.0,0.0
type_CASH_OUT,1.0,0.0,0.0
type_DEBIT,0.0,0.0,0.0
