Feature,Mean_ABS_SHAP
amount,0.3841387941138676
errorBalanceDest,0.22521912543826503
oldbalanceOrg,0.14794779182060305
errorBalanceOrig,0.0941475503920186
day,0.04458853838238032
type_CASH_IN,0.020739244570232625
isOrigBalanceZeroAfter,0.020186430018320645
type_PAYMENT,0.019541001176778924
step,0.015618851536693575
isMerchant,0.01523816753098387
type_CASH_OUT,0.013856009454454907
newbalanceOrig,0.012215763508282603
oldbalanceDest,0.006912004812518562
newbalanceDest,0.005652841195609122
type_TRANSFER,0.005043104358051626
type_DEBIT,0.0
