step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isMerchant,day,errorBalanceOrig,errorBalanceDest,isOrigBalanceZeroAfter,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
-0.69113797,5.6316433,0.9485354,-0.2924506,0.07699936,1.0091072,0.0,-0.5913491,0.33228582,-0.12594335,1.0,0.0,1.0,0.0,0.0,0.0
0.12392777,3.422183,0.4875623,-0.2924506,-0.323308,-0.3331041,0.0,0.08414091,0.33228582,4.96092,1.0,0.0,0.0,0.0,0.0,1.0
1.5783985,2.117115,0.21527806,-0.2924506,-0.323308,-0.3331041,0.0,1.6039935,0.33228582,3.1767106,1.0,0.0,0.0,0.0,0.0,1.0
1.4097642,5.9300604,1.0107961,-0.2924506,0.045706596,1.0290365,0.0,1.4351209,0.33228582,-0.12594338,1.0,0.0,1.0,0.0,0.0,0.0
2.3161736,1.8568939,0.16098651,-0.2924506,-0.323308,-0.3331041,0.0,2.2794836,0.33228582,2.820952,1.0,0.0,0.0,0.0,0.0,1.0
-1.0003008,3.665554,0.5383383,-0.2924506,-0.323308,-0.3331041,0.0,-0.92909414,0.33228582,5.293642,1.0,0.0,0.0,0.0,0.0,1.0
0.116901346,13.531394,2.5967083,-0.2924506,-0.261977,1.9897014,0.0,0.08414091,0.33228582,-0.12594338,1.0,0.0,1.0,0.0,0.0,0.0
2.9977372,16.300047,3.906193,0.43043435,-0.323308,-0.3331041,0.0,2.9549735,0.33228582,22.566751,0.0,0.0,0.0,0.0,0.0,1.0
0.41201136,2.670428,0.3307191,-0.2924506,-0.323308,-0.3331041,0.0,0.42188594,0.33228582,3.9331663,1.0,0.0,0.0,0.0,0.0,1.0
1.915667,16.300047,7.5465364,4.0262165,-0.323308,-0.3331041,0.0,1.9417385,0.33228582,22.566751,0.0,0.0,0.0,0.0,0.0,1.0
1.1568128,3.9632528,0.600449,-0.2924506,-0.323308,-0.3331041,0.0,1.2662485,0.33228582,5.7006373,1.0,0.0,0.0,0.0,0.0,1.0
